num_experimento,num_iteracao,num_particula,pos_camada,pos_n1,pos_n2,pos_n3,pos_lr,vel_camada,vel_n1,vel_n2,vel_n3,vel_lr,pbest_camada,pbest_n1,pbest_n2,pbest_n3,pbest_lr,num_camadas,f1_score,peso,int_best
1,0,0,1.3,20.0,20.0,20.0,1e-05,0.30000000000000004,12.0,12.0,12.0,-0.009999000000000001,1.0,8.0,8.0,8.0,1e-05,1,0.11111111111111116,0.8888888888888888,0
1,0,1,1.3,60.0,60.0,60.0,0.043299000000000004,0.30000000000000004,12.0,12.0,12.0,0.009999000000000001,1.0,48.0,48.0,48.0,0.0333,1,0.8529411764705882,0.1470588235294118,0
1,0,2,1.3,100.0,100.0,88.01440258682103,0.056700999999999994,0.30000000000000004,12.0,12.0,0.014402586821028851,-0.009999000000000001,1.0,88.0,88.0,88.0,0.0667,1,0.8529411764705882,0.1470588235294118,0
1,0,3,1.3,127.72593914014335,128.0,127.90472302609896,0.090001,0.30000000000000004,-0.2740608598566472,0.03465900428513297,-0.09527697390103793,-0.009999000000000001,1.0,128.0,128.0,128.0,0.1,1,0.9206349206349206,0.07936507936507942,0
1,0,4,1.3,20.0,20.0,17.07908180560925,1e-05,0.30000000000000004,12.0,12.0,9.07908180560925,-0.009999000000000001,1.0,8.0,8.0,8.0,1e-05,1,0.6938775510204082,0.30612244897959184,0
1,0,5,2.3,60.0,60.0,60.0,0.023301000000000002,0.30000000000000004,12.0,12.0,12.0,-0.009999000000000001,2.0,48.0,48.0,48.0,0.0333,2,0.8529411764705882,0.1470588235294118,0
1,0,6,2.3,100.0,98.58218285417064,91.0749482454405,0.07669899999999999,0.30000000000000004,12.0,10.582182854170645,3.0749482454405017,0.009999000000000001,2.0,88.0,88.0,88.0,0.0667,2,0.8529411764705882,0.1470588235294118,0
1,0,7,2.3,127.72645927684272,127.43674095960894,128.0,0.090001,0.30000000000000004,-0.273540723157281,-0.5632590403910626,0.2579262371170196,-0.009999000000000001,2.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
1,0,8,2.3,20.0,20.0,20.0,1e-05,0.30000000000000004,12.0,12.0,12.0,-0.009999000000000001,2.0,8.0,8.0,8.0,1e-05,2,0.835820895522388,0.16417910447761197,0
1,0,9,2.3,60.0,60.0,60.0,0.023301000000000002,0.30000000000000004,12.0,12.0,12.0,-0.009999000000000001,2.0,48.0,48.0,48.0,0.0333,2,0.8529411764705882,0.1470588235294118,0
